"Monthly age-standardised mortality rates by vaccination status by age group for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"										
This worksheet contains 1 table.										
"Source: Source: Office for National Statistics, National Immunisation Management Service."										
Cause of Death	Year	Month	Age group	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
All causes	2021	February	18-39	"First dose, less than 21 days ago"	47	39731	116.1		84.9	154.9
All causes	2021	February	18-39	"First dose, at least 21 days ago"	31	42421	68.3		46.3	97.0
All causes	2021	February	18-39	"Second dose, less than 21 days ago"	<3	702	x		x	x
All causes	2021	February	18-39	"Second dose, at least 21 days ago"	<3	1797	x		x	x
All causes	2021	February	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	February	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	February	40-49	Unvaccinated	685	361737	188.2		174.1	202.3
All causes	2021	February	40-49	"First dose, less than 21 days ago"	61	30706	192.4		146.8	247.5
All causes	2021	February	40-49	"First dose, at least 21 days ago"	39	30465	125.8		89.3	172.2
All causes	2021	February	40-49	"Second dose, less than 21 days ago"	<3	621	x		x	x
All causes	2021	February	40-49	"Second dose, at least 21 days ago"	<3	1725	x		x	x
All causes	2021	February	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	February	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	February	50-59	Unvaccinated	1955	395903	491.1		469.4	512.9
All causes	2021	February	50-59	"First dose, less than 21 days ago"	233	52699	426.5		371.2	481.9
All causes	2021	February	50-59	"First dose, at least 21 days ago"	162	40611	393.3		332.6	453.9
All causes	2021	February	50-59	"Second dose, less than 21 days ago"	<3	841	x		x	x
All causes	2021	February	50-59	"Second dose, at least 21 days ago"	<3	2304	x		x	x
All causes	2021	February	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	February	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	February	60-69	Unvaccinated	3665	250153	1616.6		1562.8	1670.3
All causes	2021	February	60-69	"First dose, less than 21 days ago"	725	119825	624.2		574.2	674.2
All causes	2021	February	60-69	"First dose, at least 21 days ago"	409	29345	1437.1		1297.4	1576.8
All causes	2021	February	60-69	"Second dose, less than 21 days ago"	3	468	928.4	u	191.5	2713.1
All causes	2021	February	60-69	"Second dose, at least 21 days ago"	3	1235	381.7	u	78.7	1115.4
All causes	2021	February	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	February	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	February	70-79	Unvaccinated	5079	41372	15983.6		15502.2	16465.0
All causes	2021	February	70-79	"First dose, less than 21 days ago"	2235	172973	1396.4		1337.3	1455.4
All causes	2021	February	70-79	"First dose, at least 21 days ago"	2398	110881	2001.6		1917.4	2085.9
All causes	2021	February	70-79	"Second dose, less than 21 days ago"	3	216	1305.0	u	269.1	3813.8
All causes	2021	February	70-79	"Second dose, at least 21 days ago"	12	845	1650.5	u	784.1	2989.3
All causes	2021	February	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	February	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	February	80-89	Unvaccinated	5076	9621	51805.1		50373.8	53236.3
All causes	2021	February	80-89	"First dose, less than 21 days ago"	2379	27502	8609.4		8263.4	8955.4
All causes	2021	February	80-89	"First dose, at least 21 days ago"	6606	98774	6677.3		6516.3	6838.3
All causes	2021	February	80-89	"Second dose, less than 21 days ago"	25	397	6262.0		4051.8	9244.9
All causes	2021	February	80-89	"Second dose, at least 21 days ago"	624	20111	3104.9		2861.3	3348.5
All causes	2021	February	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	February	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	February	90+	Unvaccinated	2920	3228	90454.7		87203.2	93796.4
All causes	2021	February	90+	"First dose, less than 21 days ago"	1669	6965	23963.0		22827.0	25140.9
All causes	2021	February	90+	"First dose, at least 21 days ago"	4657	20376	22855.5		22203.7	23521.5
All causes	2021	February	90+	"Second dose, less than 21 days ago"	13	83	15603.8	u	8300.2	26684.8
All causes	2021	February	90+	"Second dose, at least 21 days ago"	263	3382	7776.6		6865.0	8775.5
All causes	2021	February	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	February	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	March	18-39	Unvaccinated	329	771450	44.0		39.2	48.8
All causes	2021	March	18-39	"First dose, less than 21 days ago"	37	64007	52.4		36.8	72.4
All causes	2021	March	18-39	"First dose, at least 21 days ago"	98	101620	91.9		74.3	112.4
All causes	2021	March	18-39	"Second dose, less than 21 days ago"	<3	10273	x		x	x
All causes	2021	March	18-39	"Second dose, at least 21 days ago"	<3	3922	x		x	x
All causes	2021	March	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	March	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	March	40-49	Unvaccinated	427	322036	133.1		120.5	145.8
All causes	2021	March	40-49	"First dose, less than 21 days ago"	85	58486	139.3		110.9	172.7
All causes	2021	March	40-49	"First dose, at least 21 days ago"	194	77991	245.8		211.0	280.6
All causes	2021	March	40-49	"Second dose, less than 21 days ago"	3	7947	34.7	u	7.2	101.5
All causes	2021	March	40-49	"Second dose, at least 21 days ago"	3	3546	82.6	u	16.7	242.1
All causes	2021	March	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	March	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	March	50-59	Unvaccinated	1092	230773	482.8		454.1	511.6
All causes	2021	March	50-59	"First dose, less than 21 days ago"	281	170710	162.1		143.0	181.2
All causes	2021	March	50-59	"First dose, at least 21 days ago"	693	128489	525.1		485.7	564.5
All causes	2021	March	50-59	"Second dose, less than 21 days ago"	10	10466	93.6	u	44.8	172.2
All causes	2021	March	50-59	"Second dose, at least 21 days ago"	4	4757	84.2	u	22.8	215.8
All causes	2021	March	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	March	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	March	60-69	Unvaccinated	1551	65474	3186.5		3011.9	3361.2
All causes	2021	March	60-69	"First dose, less than 21 days ago"	480	135647	420.3		380.6	459.9
All causes	2021	March	60-69	"First dose, at least 21 days ago"	1904	234304	812.1		774.2	850.1
All causes	2021	March	60-69	"Second dose, less than 21 days ago"	28	6454	492.3		323.7	716.0
All causes	2021	March	60-69	"Second dose, at least 21 days ago"	9	2647	427.2	u	186.7	825.3
All causes	2021	March	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	March	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	March	70-79	Unvaccinated	1616	14554	11415.5		10854.1	11976.8
All causes	2021	March	70-79	"First dose, less than 21 days ago"	374	7899	6009.9		5343.7	6676.2
All causes	2021	March	70-79	"First dose, at least 21 days ago"	6056	329094	1866.9		1819.8	1914.0
All causes	2021	March	70-79	"Second dose, less than 21 days ago"	179	8682	1933.4		1626.6	2240.2
All causes	2021	March	70-79	"Second dose, at least 21 days ago"	37	1594	2284.1		1576.5	3189.0
All causes	2021	March	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	March	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	March	80-89	Unvaccinated	1645	6511	24941.6		23734.7	26148.5
All causes	2021	March	80-89	"First dose, less than 21 days ago"	384	1891	19733.7		17741.8	21725.5
All causes	2021	March	80-89	"First dose, at least 21 days ago"	8493	119342	7110.4		6959.2	7261.7
All causes	2021	March	80-89	"Second dose, less than 21 days ago"	639	20970	3005.1		2771.9	3238.2
All causes	2021	March	80-89	"Second dose, at least 21 days ago"	858	24438	3502.2		3267.8	3736.5
All causes	2021	March	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	March	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	March	90+	Unvaccinated	927	1964	47202.6		44212.4	50341.8
All causes	2021	March	90+	"First dose, less than 21 days ago"	228	698	32665.4		28562.4	37192.3
All causes	2021	March	90+	"First dose, at least 21 days ago"	5632	26122	21560.1		21000.6	22130.7
All causes	2021	March	90+	"Second dose, less than 21 days ago"	476	4633	10273.8		9371.4	11239.6
All causes	2021	March	90+	"Second dose, at least 21 days ago"	427	4282	9971.9		9048.3	10964.1
All causes	2021	March	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	March	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	April	18-39	Unvaccinated	274	687619	41.7		36.8	46.7
All causes	2021	April	18-39	"First dose, less than 21 days ago"	18	32928	51.2	u	30.2	81.2
All causes	2021	April	18-39	"First dose, at least 21 days ago"	169	139900	114.8		97.3	132.4
All causes	2021	April	18-39	"Second dose, less than 21 days ago"	20	35296	54.7		33.3	84.6
All causes	2021	April	18-39	"Second dose, at least 21 days ago"	9	24267	34.5	u	15.6	65.7
All causes	2021	April	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	April	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	April	40-49	Unvaccinated	304	222773	143.9		127.5	160.2
All causes	2021	April	40-49	"First dose, less than 21 days ago"	33	61692	53.3		35.3	76.7
All causes	2021	April	40-49	"First dose, at least 21 days ago"	292	124719	229.9		203.3	256.6
All causes	2021	April	40-49	"Second dose, less than 21 days ago"	33	25831	122.4		84.1	172.0
All causes	2021	April	40-49	"Second dose, at least 21 days ago"	14	18919	69.8	u	38.1	117.2
All causes	2021	April	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	April	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	April	50-59	Unvaccinated	471	52913	908.8		826.5	991.1
All causes	2021	April	50-59	"First dose, less than 21 days ago"	96	83307	120.7		97.6	147.7
All causes	2021	April	50-59	"First dose, at least 21 days ago"	1053	327517	316.2		297.0	335.3
All causes	2021	April	50-59	"Second dose, less than 21 days ago"	88	38564	222.6		178.3	274.4
All causes	2021	April	50-59	"Second dose, at least 21 days ago"	64	25406	247.0		190.1	315.6
All causes	2021	April	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	April	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	April	60-69	Unvaccinated	733	26218	2921.4		2707.3	3135.6
All causes	2021	April	60-69	"First dose, less than 21 days ago"	81	12216	1074.2		808.4	1387.9
All causes	2021	April	60-69	"First dose, at least 21 days ago"	2406	327316	740.6		711.0	770.2
All causes	2021	April	60-69	"Second dose, less than 21 days ago"	240	48630	480.0		417.7	542.3
All causes	2021	April	60-69	"Second dose, at least 21 days ago"	139	16554	899.6		747.6	1051.5
All causes	2021	April	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	April	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	April	70-79	Unvaccinated	777	11747	6877.2		6388.4	7366.0
All causes	2021	April	70-79	"First dose, less than 21 days ago"	65	1048	6440.1		4955.9	8225.8
All causes	2021	April	70-79	"First dose, at least 21 days ago"	4813	171610	3150.0		3057.9	3242.1
All causes	2021	April	70-79	"Second dose, less than 21 days ago"	1232	137476	863.3		814.6	911.9
All causes	2021	April	70-79	"Second dose, at least 21 days ago"	637	29208	2133.5		1953.7	2313.4
All causes	2021	April	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	April	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	April	80-89	Unvaccinated	823	5032	16198.9		15091.1	17306.7
All causes	2021	April	80-89	"First dose, less than 21 days ago"	91	451	19784.8		15912.1	24311.7
All causes	2021	April	80-89	"First dose, at least 21 days ago"	4813	27843	17143.7		16659.1	17628.3
All causes	2021	April	80-89	"Second dose, less than 21 days ago"	2196	65986	3339.4		3199.7	3479.1
All causes	2021	April	80-89	"Second dose, at least 21 days ago"	2969	68381	4307.5		4152.5	4462.5
All causes	2021	April	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	April	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	April	90+	Unvaccinated	448	1497	29931.9		27223.9	32836.3
All causes	2021	April	90+	"First dose, less than 21 days ago"	52	161	32378.6		24180.0	42461.3
All causes	2021	April	90+	"First dose, at least 21 days ago"	2804	7453	37620.9		36241.2	39039.8
All causes	2021	April	90+	"Second dose, less than 21 days ago"	1584	13617	11632.8		11066.9	12220.2
All causes	2021	April	90+	"Second dose, at least 21 days ago"	1992	13981	14248.1		13629.2	14887.9
All causes	2021	April	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	April	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	May	18-39	Unvaccinated	231	650333	38.4		33.3	43.4
All causes	2021	May	18-39	"First dose, less than 21 days ago"	9	54421	18.2	u	4.3	41.1
All causes	2021	May	18-39	"First dose, at least 21 days ago"	100	113844	82.7		66.3	99.0
All causes	2021	May	18-39	"Second dose, less than 21 days ago"	29	52120	51.5		34.3	73.9
All causes	2021	May	18-39	"Second dose, at least 21 days ago"	54	79363	68.7		50.8	90.7
All causes	2021	May	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	May	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	May	40-49	Unvaccinated	252	109036	258.9		226.2	291.6
All causes	2021	May	40-49	"First dose, less than 21 days ago"	39	84736	48.8		34.4	67.1
All causes	2021	May	40-49	"First dose, at least 21 days ago"	285	166759	169.2		148.9	189.5
All causes	2021	May	40-49	"Second dose, less than 21 days ago"	64	47279	129.5		99.5	165.7
All causes	2021	May	40-49	"Second dose, at least 21 days ago"	109	60510	179.8		145.9	213.7
All causes	2021	May	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	May	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	May	50-59	Unvaccinated	365	48573	763.8		685.3	842.3
All causes	2021	May	50-59	"First dose, less than 21 days ago"	12	4102	261.3	u	131.3	462.3
All causes	2021	May	50-59	"First dose, at least 21 days ago"	873	294508	295.1		275.5	314.7
All causes	2021	May	50-59	"Second dose, less than 21 days ago"	221	106317	203.4		176.4	230.4
All causes	2021	May	50-59	"Second dose, at least 21 days ago"	387	91791	412.8		371.5	454.1
All causes	2021	May	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	May	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	May	60-69	Unvaccinated	499	25056	2093.8		1908.0	2279.6
All causes	2021	May	60-69	"First dose, less than 21 days ago"	19	1274	1641.3	u	973.5	2583.9
All causes	2021	May	60-69	"First dose, at least 21 days ago"	1486	136397	1465.6		1384.0	1547.2
All causes	2021	May	60-69	"Second dose, less than 21 days ago"	599	162847	362.5		333.2	391.9
All causes	2021	May	60-69	"Second dose, at least 21 days ago"	1021	120402	832.9		780.3	885.5
All causes	2021	May	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	May	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	May	70-79	Unvaccinated	591	11371	5406.3		4965.2	5847.3
All causes	2021	May	70-79	"First dose, less than 21 days ago"	29	416	7014.8		4680.6	10065.7
All causes	2021	May	70-79	"First dose, at least 21 days ago"	2042	11851	19143.8		18287.7	19999.8
All causes	2021	May	70-79	"Second dose, less than 21 days ago"	1045	86880	1428.8		1335.8	1521.9
All causes	2021	May	70-79	"Second dose, at least 21 days ago"	3985	253109	1536.0		1488.2	1583.9
All causes	2021	May	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	May	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	May	80-89	Unvaccinated	521	4802	10749.1		9825.3	11672.9
All causes	2021	May	80-89	"First dose, less than 21 days ago"	29	179	15571.7		10407.6	22321.6
All causes	2021	May	80-89	"First dose, at least 21 days ago"	2010	4154	47546.1		45450.3	49641.9
All causes	2021	May	80-89	"Second dose, less than 21 days ago"	762	9648	7807.3		7252.5	8362.2
All causes	2021	May	80-89	"Second dose, at least 21 days ago"	8070	154715	5200.0		5086.5	5313.4
All causes	2021	May	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	May	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	May	90+	Unvaccinated	323	1402	23031.3		20587.7	25685.1
All causes	2021	May	90+	"First dose, less than 21 days ago"	5	71	7033.5	u	2266.6	16413.8
All causes	2021	May	90+	"First dose, at least 21 days ago"	1073	1446	74227.2		69851.7	78805.1
All causes	2021	May	90+	"Second dose, less than 21 days ago"	502	2854	17586.3		16081.3	19194.2
All causes	2021	May	90+	"Second dose, at least 21 days ago"	5224	32342	16152.4		15717.3	16596.4
All causes	2021	May	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	May	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	June	18-39	Unvaccinated	185	433417	53.4		45.1	61.6
All causes	2021	June	18-39	"First dose, less than 21 days ago"	22	148043	13.8		8.6	21.0
All causes	2021	June	18-39	"First dose, at least 21 days ago"	91	130744	75.6		58.2	95.9
All causes	2021	June	18-39	"Second dose, less than 21 days ago"	14	53452	25.2	u	13.6	42.6
All causes	2021	June	18-39	"Second dose, at least 21 days ago"	115	153194	72.7		59.0	86.3
All causes	2021	June	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	June	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	June	40-49	Unvaccinated	187	71044	274.0		234.3	313.6
All causes	2021	June	40-49	"First dose, less than 21 days ago"	13	14538	132.6	u	70.0	227.7
All causes	2021	June	40-49	"First dose, at least 21 days ago"	177	164914	108.3		92.3	124.3
All causes	2021	June	40-49	"Second dose, less than 21 days ago"	48	70956	65.8		48.1	87.8
All causes	2021	June	40-49	"Second dose, at least 21 days ago"	253	130983	189.9		166.3	213.5
All causes	2021	June	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	June	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	June	50-59	Unvaccinated	319	43139	750.3		667.8	832.8
All causes	2021	June	50-59	"First dose, less than 21 days ago"	12	2501	494.2	u	252.5	867.5
All causes	2021	June	50-59	"First dose, at least 21 days ago"	393	55130	746.6		672.4	820.9
All causes	2021	June	50-59	"Second dose, less than 21 days ago"	174	159050	108.7		92.6	124.9
All causes	2021	June	50-59	"Second dose, at least 21 days ago"	891	267955	325.7		304.2	347.2
All causes	2021	June	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	June	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	June	60-69	Unvaccinated	376	22861	1683.0		1511.0	1855.1
All causes	2021	June	60-69	"First dose, less than 21 days ago"	8	899	1012.9	u	423.4	2019.3
All causes	2021	June	60-69	"First dose, at least 21 days ago"	666	13467	6013.1		5521.8	6504.5
All causes	2021	June	60-69	"Second dose, less than 21 days ago"	231	61371	572.9		483.8	662.0
All causes	2021	June	60-69	"Second dose, at least 21 days ago"	2263	333623	667.0		639.4	694.6
All causes	2021	June	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	June	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	June	70-79	Unvaccinated	469	10565	4573.0		4154.1	4991.9
All causes	2021	June	70-79	"First dose, less than 21 days ago"	15	299	5110.6	u	2843.9	8453.4
All causes	2021	June	70-79	"First dose, at least 21 days ago"	883	3423	26251.1		24512.3	27990.0
All causes	2021	June	70-79	"Second dose, less than 21 days ago"	188	3507	5745.7		4902.6	6588.7
All causes	2021	June	70-79	"Second dose, at least 21 days ago"	6018	335020	1811.9		1766.1	1857.7
All causes	2021	June	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	June	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	June	80-89	Unvaccinated	484	4423	10847.0		9879.7	11814.2
All causes	2021	June	80-89	"First dose, less than 21 days ago"	9	128	7059.1	u	3227.8	13400.5
All causes	2021	June	80-89	"First dose, at least 21 days ago"	830	1743	46619.2		43415.2	49823.2
All causes	2021	June	80-89	"Second dose, less than 21 days ago"	150	1243	11834.8		9930.3	13739.4
All causes	2021	June	80-89	"Second dose, at least 21 days ago"	9312	160568	5774.2		5656.9	5891.5
All causes	2021	June	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	June	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	June	90+	Unvaccinated	295	1289	22878.1		20341.5	25643.6
All causes	2021	June	90+	"First dose, less than 21 days ago"	6	38	15659.2	u	5718.0	34084.5
All causes	2021	June	90+	"First dose, at least 21 days ago"	454	641	70797.6		64433.9	77619.7
All causes	2021	June	90+	"Second dose, less than 21 days ago"	104	412	25213.7		20600.9	30551.0
All causes	2021	June	90+	"Second dose, at least 21 days ago"	5578	34772	16041.4		15623.2	16468.0
All causes	2021	June	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	June	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	July	18-39	Unvaccinated	161	277517	66.0		55.6	76.4
All causes	2021	July	18-39	"First dose, less than 21 days ago"	28	99290	56.4		31.5	89.5
All causes	2021	July	18-39	"First dose, at least 21 days ago"	108	277354	39.0		31.6	46.4
All causes	2021	July	18-39	"Second dose, less than 21 days ago"	8	61429	10.4	u	3.1	22.7
All causes	2021	July	18-39	"Second dose, at least 21 days ago"	197	233340	81.3		69.7	92.9
All causes	2021	July	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	July	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	July	40-49	Unvaccinated	188	66425	296.3		253.6	339.0
All causes	2021	July	40-49	"First dose, less than 21 days ago"	4	4332	95.8	u	24.9	248.0
All causes	2021	July	40-49	"First dose, at least 21 days ago"	116	64265	199.2		162.0	236.3
All causes	2021	July	40-49	"Second dose, less than 21 days ago"	47	83938	56.0		41.1	74.5
