"Monthly age-standardised mortality rates by vaccination status by sex for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"										
This worksheet contains 1 table.										
"Source: Source: Office for National Statistics, National Immunisation Management Service."										
Sex	Cause of Death	Year	Month	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
Female	All causes	2021	May	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	All causes	2021	May	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	Ever vaccinated	15053	1164232	757.4		744.9	769.9
Female	All causes	2021	June	Unvaccinated	1100	435920	1406.5		1317.3	1495.8
Female	All causes	2021	June	"First dose, less than 21 days ago"	39	79890	1300.8		768.6	1977.0
Female	All causes	2021	June	"First dose, at least 21 days ago"	1748	182110	5608.6		5310.3	5906.9
Female	All causes	2021	June	"Second dose, less than 21 days ago"	404	175974	1290.8		1130.6	1451.0
Female	All causes	2021	June	"Second dose, between 21 days and 6 months ago"	12339	802721	688.4		675.3	701.6
Female	All causes	2021	June	"Second dose, at least 6 months ago"	0	16	x		x	x
Female	All causes	2021	June	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	Ever vaccinated	14530	1240711	776.1		717.2	835.1
Female	All causes	2021	July	Unvaccinated	1135	363785	1458.9		1368.3	1549.6
Female	All causes	2021	July	"First dose, less than 21 days ago"	15	49885	618.6	u	242.3	1173.7
Female	All causes	2021	July	"First dose, at least 21 days ago"	1125	175997	5399.5		5052.3	5746.6
Female	All causes	2021	July	"Second dose, less than 21 days ago"	144	81686	1769.9		1423.3	2116.6
Female	All causes	2021	July	"Second dose, between 21 days and 6 months ago"	14833	1044720	802.4		788.8	816.0
Female	All causes	2021	July	"Second dose, at least 6 months ago"	502	15045	382.1		271.5	492.7
Female	All causes	2021	July	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	July	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	July	Ever vaccinated	16619	1367333	824.1		811.4	836.8
Female	All causes	2021	August	Unvaccinated	1180	335973	1577.3		1481.7	1672.9
Female	All causes	2021	August	"First dose, less than 21 days ago"	20	17847	2111.5		1144.2	3464.8
Female	All causes	2021	August	"First dose, at least 21 days ago"	712	123237	4139.0		3807.9	4470.1
Female	All causes	2021	August	"Second dose, less than 21 days ago"	47	75779	1216.3		816.4	1713.6
Female	All causes	2021	August	"Second dose, between 21 days and 6 months ago"	14948	1153981	846.8		770.7	923.0
Female	All causes	2021	August	"Second dose, at least 6 months ago"	724	22789	635.2		496.5	773.9
Female	All causes	2021	August	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	August	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	August	Ever vaccinated	16451	1393633	825		795	855
Female	All causes	2021	September	Unvaccinated	1077	300176	1505.0		1409.8	1600.2
Female	All causes	2021	September	"First dose, less than 21 days ago"	4	15541	x		x	x
Female	All causes	2021	September	"First dose, at least 21 days ago"	610	69964	4163.0		3807.3	4518.7
Female	All causes	2021	September	"Second dose, less than 21 days ago"	17	45409	721.0	u	338.8	1271.4
Female	All causes	2021	September	"Second dose, between 21 days and 6 months ago"	13646	1164738	857.7		843.2	872.1
Female	All causes	2021	September	"Second dose, at least 6 months ago"	2474	70439	884.2		807.3	961.1
Female	All causes	2021	September	"Third dose or booster, less than 21 days ago"	37	6079	174.5		104.7	263.7
Female	All causes	2021	September	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	September	Ever vaccinated	16788	1372169	853.7		840.6	866.7
Female	All causes	2021	October	Unvaccinated	1072	286489	1466.5		1373.7	1559.3
Female	All causes	2021	October	"First dose, less than 21 days ago"	11	17728	1638.0	u	741.5	3050.9
Female	All causes	2021	October	"First dose, at least 21 days ago"	532	67772	3831.4		3481.4	4181.4
Female	All causes	2021	October	"Second dose, less than 21 days ago"	27	15121	2109.1		1340.0	3135.3
Female	All causes	2021	October	"Second dose, between 21 days and 6 months ago"	6244	966768	1013.8		985.6	1042.0
Female	All causes	2021	October	"Second dose, at least 6 months ago"	9100	200581	1460.0		1420.6	1499.4
Female	All causes	2021	October	"Third dose or booster, less than 21 days ago"	1956	139937	352.1		330.5	373.6
Female	All causes	2021	October	"Third dose or booster, at least 21 days ago"	550	32137	396.2		346.9	445.5
Female	All causes	2021	October	Ever vaccinated	18420	1440043	901.1		887.9	914.2
Female	All causes	2021	November	Unvaccinated	1034	249484	1517.5		1420.3	1614.7
Female	All causes	2021	November	"First dose, less than 21 days ago"	18	18432	3311.2	u	1862.2	5376.0
Female	All causes	2021	November	"First dose, at least 21 days ago"	418	76959	3363.4		3017.4	3709.4
Female	All causes	2021	November	"Second dose, less than 21 days ago"	17	9924	1236.1	u	666.6	2056.1
Female	All causes	2021	November	"Second dose, between 21 days and 6 months ago"	1472	599559	1675.7		1551.6	1799.9
Female	All causes	2021	November	"Second dose, at least 6 months ago"	8812	247176	2341.2		2290.6	2391.7
Female	All causes	2021	November	"Third dose or booster, less than 21 days ago"	2335	216497	516.6		492.8	540.3
Female	All causes	2021	November	"Third dose or booster, at least 21 days ago"	5545	251183	617.2		595.1	639.2
Female	All causes	2021	November	Ever vaccinated	18617	1419730	939.5		925.9	953.1
Female	All causes	2021	December	Unvaccinated	1201	240463	1702.0		1600.7	1803.4
Female	All causes	2021	December	"First dose, less than 21 days ago"	10	10899	1817.2	u	800.4	3456.3
Female	All causes	2021	December	"First dose, at least 21 days ago"	395	84775	3474.1		3109.0	3839.1
Female	All causes	2021	December	"Second dose, less than 21 days ago"	17	14841	1126.3	u	609.1	1871.1
Female	All causes	2021	December	"Second dose, between 21 days and 6 months ago"	481	296734	1964.1		1749.5	2178.6
Female	All causes	2021	December	"Second dose, at least 6 months ago"	5999	188096	4086.2		3977.0	4195.3
Female	All causes	2021	December	"Third dose or booster, less than 21 days ago"	1643	294251	1034.1		750.0	1318.2
Female	All causes	2021	December	"Third dose or booster, at least 21 days ago"	11825	593053	732.8		717.7	747.8
Female	All causes	2021	December	Ever vaccinated	20370	1482648	990.6		976.9	1004.3
Female	All causes	2022	January	Unvaccinated	1074	226355	1593.3		1493.7	1692.9
Female	All causes	2022	January	"First dose, less than 21 days ago"	11	9191	2148.9	u	959.4	4023.5
Female	All causes	2022	January	"First dose, at least 21 days ago"	334	77139	3194.8		2833.7	3555.9
Female	All causes	2022	January	"Second dose, less than 21 days ago"	19	15862	2133.6	u	1215.2	3429.8
Female	All causes	2022	January	"Second dose, between 21 days and 6 months ago"	253	135814	2373.1		2035.9	2710.4
Female	All causes	2022	January	"Second dose, at least 6 months ago"	3355	122921	4316.2		3926.4	4706.0
Female	All causes	2022	January	"Third dose or booster, less than 21 days ago"	493	122383	1417.4		1282.2	1552.7
Female	All causes	2022	January	"Third dose or booster, at least 21 days ago"	14996	1011650	784.2		771.2	797.3
Female	All causes	2022	January	Ever vaccinated	19461	1494960	944.1		930.7	957.4
Female	All causes	2022	February	Unvaccinated	784	196441	1290.5		1196.3	1384.6
Female	All causes	2022	February	"First dose, less than 21 days ago"	5	4840	x		x	x
Female	All causes	2022	February	"First dose, at least 21 days ago"	233	61984	2519.6		2175.5	2863.8
Female	All causes	2022	February	"Second dose, less than 21 days ago"	8	12881	x		x	x
Female	All causes	2022	February	"Second dose, between 21 days and 6 months ago"	125	99502	1690.6		1360.7	2020.5
Female	All causes	2022	February	"Second dose, at least 6 months ago"	1842	121325	2811.6		2677.2	2946.1
Female	All causes	2022	February	"Third dose or booster, less than 21 days ago"	103	17120	1743.3		1380.6	2106.0
Female	All causes	2022	February	"Third dose or booster, at least 21 days ago"	14396	1039181	809.8		796.3	823.2
Female	All causes	2022	February	Ever vaccinated	16712	1356833	894.7		881	908.4
Female	All causes	2022	March	Unvaccinated	746	213620	1136.3		1051.3	1221.2
Female	All causes	2022	March	"First dose, less than 21 days ago"	2	2368	x		x	x
Female	All causes	2022	March	"First dose, at least 21 days ago"	215	63108	1931.3		1651.1	2211.6
Female	All causes	2022	March	"Second dose, less than 21 days ago"	2	8246	x		x	x
Female	All causes	2022	March	"Second dose, between 21 days and 6 months ago"	124	93351	1888.3		1523.3	2253.2
Female	All causes	2022	March	"Second dose, at least 6 months ago"	1606	154419	2330.9		2211.5	2450.3
Female	All causes	2022	March	"Third dose or booster, less than 21 days ago"	43	10020	1451.5		1026.3	1985.6
Female	All causes	2022	March	"Third dose or booster, at least 21 days ago"	15970	1173039	860.9		786.6	935.2
Female	All causes	2022	March	Ever vaccinated	17962	1504551	869.1		856.3	881.9
Female	All causes	2022	April	Unvaccinated	698	204224	1105.1		1020.2	1190.0
Female	All causes	2022	April	"First dose, less than 21 days ago"	5	1594	x		x	x
Female	All causes	2022	April	"First dose, at least 21 days ago"	195	55066	2053.0		1746.2	2359.7
Female	All causes	2022	April	"Second dose, less than 21 days ago"	8	5926	x		x	x
Female	All causes	2022	April	"Second dose, between 21 days and 6 months ago"	111	82535	2043.6		1620.1	2467.2
Female	All causes	2022	April	"Second dose, at least 6 months ago"	1357	157096	2111.1		1992.9	2229.3
Female	All causes	2022	April	"Third dose or booster, less than 21 days ago"	52	7432	1490.9		1058.8	2022.4
Female	All causes	2022	April	"Third dose or booster, at least 21 days ago"	16223	1147317	843.0		829.8	856.2
Female	All causes	2022	April	Ever vaccinated	17951	1456966	893.4		880.2	906.6
Female	All causes	2022	May	Unvaccinated	552	209179	830.0		757.9	902.0
Female	All causes	2022	May	"First dose, less than 21 days ago"	1	1142	x		x	x
Female	All causes	2022	May	"First dose, at least 21 days ago"	171	52703	1733.2		1455.8	2010.6
Female	All causes	2022	May	"Second dose, less than 21 days ago"	5	4240	x		x	x
Female	All causes	2022	May	"Second dose, between 21 days and 6 months ago"	75	79753	1648.0		1246.2	2125.3
Female	All causes	2022	May	"Second dose, at least 6 months ago"	942	165998	1496.9		1396.1	1597.6
Female	All causes	2022	May	"Third dose or booster, less than 21 days ago"	57	6886	1782.9		1241.0	2443.3
Female	All causes	2022	May	"Third dose or booster, at least 21 days ago"	13899	1195170	698.7		686.9	710.5
Female	All causes	2022	May	Ever vaccinated	15150	1505891	731.3		719.6	743
Female	Deaths involving COVID-19	2021	January	Unvaccinated	11632	1555765	972.6		954.6	990.6
Female	Deaths involving COVID-19	2021	January	"First dose, less than 21 days ago"	1281	140849	228.6		208.0	249.2
Female	Deaths involving COVID-19	2021	January	"First dose, at least 21 days ago"	481	23287	580.9		465.1	696.7
Female	Deaths involving COVID-19	2021	January	"Second dose, less than 21 days ago"	26	13547	15.7		10.2	23.2
Female	Deaths involving COVID-19	2021	January	"Second dose, between 21 days and 6 months ago"	4	2351	x		x	x
Female	Deaths involving COVID-19	2021	January	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	January	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	January	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	January	Ever vaccinated	1792	180035	233.4		214.6	252.1
Female	Deaths involving COVID-19	2021	February	Unvaccinated	3433	1060900	1688.8		1624.2	1753.5
Female	Deaths involving COVID-19	2021	February	"First dose, less than 21 days ago"	753	252576	175.6		162.0	189.2
Female	Deaths involving COVID-19	2021	February	"First dose, at least 21 days ago"	1744	233342	185.8		173.3	198.3
Female	Deaths involving COVID-19	2021	February	"Second dose, less than 21 days ago"	4	2269	x		x	x
Female	Deaths involving COVID-19	2021	February	"Second dose, between 21 days and 6 months ago"	22	18298	23.1		-0.6	55.7
Female	Deaths involving COVID-19	2021	February	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	February	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	February	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	February	Ever vaccinated	2523	506485	156.8		149.7	164
Female	Deaths involving COVID-19	2021	March	Unvaccinated	556	848503	459.8		416.6	503.0
Female	Deaths involving COVID-19	2021	March	"First dose, less than 21 days ago"	74	228449	177.1		132.4	230.3
Female	Deaths involving COVID-19	2021	March	"First dose, at least 21 days ago"	742	585571	51.7		47.6	55.9
Female	Deaths involving COVID-19	2021	March	"Second dose, less than 21 days ago"	14	45583	6.6	u	2.8	12.2
Female	Deaths involving COVID-19	2021	March	"Second dose, between 21 days and 6 months ago"	10	27268	11.3	u	-2.2	33.0
Female	Deaths involving COVID-19	2021	March	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	March	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	March	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	March	Ever vaccinated	840	886871	43.2		40.2	46.3
Female	Deaths involving COVID-19	2021	April	Unvaccinated	118	641652	130.1		104.9	155.4
Female	Deaths involving COVID-19	2021	April	"First dose, less than 21 days ago"	9	94768	x		x	x
Female	Deaths involving COVID-19	2021	April	"First dose, at least 21 days ago"	185	599836	38.1		32.4	43.9
Female	Deaths involving COVID-19	2021	April	"Second dose, less than 21 days ago"	20	217916	2.4		1.5	3.8
Female	Deaths involving COVID-19	2021	April	"Second dose, between 21 days and 6 months ago"	25	125114	3.3		2.0	5.1
Female	Deaths involving COVID-19	2021	April	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	April	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	April	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	April	Ever vaccinated	239	1037635	12		10.5	13.6
Female	Deaths involving COVID-19	2021	May	Unvaccinated	33	569645	31.1		20.2	45.2
Female	Deaths involving COVID-19	2021	May	"First dose, less than 21 days ago"	0	70040	x		x	x
Female	Deaths involving COVID-19	2021	May	"First dose, at least 21 days ago"	53	370188	57.1		40.2	77.8
Female	Deaths involving COVID-19	2021	May	"Second dose, less than 21 days ago"	13	251194	6.1	u	2.9	10.8
Female	Deaths involving COVID-19	2021	May	"Second dose, between 21 days and 6 months ago"	38	472810	2.7		1.7	3.9
Female	Deaths involving COVID-19	2021	May	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	May	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	May	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	May	Ever vaccinated	104	1164232	5.3		4.2	6.3
Female	Deaths involving COVID-19	2021	June	Unvaccinated	46	435920	53.8		38.0	73.5
Female	Deaths involving COVID-19	2021	June	"First dose, less than 21 days ago"	0	79890	x		x	x
Female	Deaths involving COVID-19	2021	June	"First dose, at least 21 days ago"	16	182110	57.5	u	30.2	97.2
Female	Deaths involving COVID-19	2021	June	"Second dose, less than 21 days ago"	4	175974	x		x	x
Female	Deaths involving COVID-19	2021	June	"Second dose, between 21 days and 6 months ago"	64	802721	3.8		2.8	5.0
Female	Deaths involving COVID-19	2021	June	"Second dose, at least 6 months ago"	0	16	x		x	x
Female	Deaths involving COVID-19	2021	June	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	June	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	June	Ever vaccinated	84	1240711	4.4		3.5	5.4
Female	Deaths involving COVID-19	2021	July	Unvaccinated	141	363785	176.3		145.1	207.5
Female	Deaths involving COVID-19	2021	July	"First dose, less than 21 days ago"	3	49885	x		x	x
Female	Deaths involving COVID-19	2021	July	"First dose, at least 21 days ago"	41	175997	199.8		137.8	278.1
Female	Deaths involving COVID-19	2021	July	"Second dose, less than 21 days ago"	5	81686	x		x	x
Female	Deaths involving COVID-19	2021	July	"Second dose, between 21 days and 6 months ago"	286	1044720	15.9		14.0	17.9
Female	Deaths involving COVID-19	2021	July	"Second dose, at least 6 months ago"	16	15045	8.6	u	4.9	13.9
Female	Deaths involving COVID-19	2021	July	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	July	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	July	Ever vaccinated	351	1367333	17.8		15.9	19.7
Female	Deaths involving COVID-19	2021	August	Unvaccinated	252	335973	314.1		272.3	355.9
Female	Deaths involving COVID-19	2021	August	"First dose, less than 21 days ago"	3	17847	x		x	x
Female	Deaths involving COVID-19	2021	August	"First dose, at least 21 days ago"	33	123237	193.3		126.5	279.9
Female	Deaths involving COVID-19	2021	August	"Second dose, less than 21 days ago"	1	75779	x		x	x
Female	Deaths involving COVID-19	2021	August	"Second dose, between 21 days and 6 months ago"	606	1153981	33.1		30.4	35.8
Female	Deaths involving COVID-19	2021	August	"Second dose, at least 6 months ago"	35	22789	52.6		11.0	106.1
Female	Deaths involving COVID-19	2021	August	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	August	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	August	Ever vaccinated	678	1393633	33.9		31.3	36.5
Female	Deaths involving COVID-19	2021	September	Unvaccinated	230	300176	301.9		260.2	343.7
Female	Deaths involving COVID-19	2021	September	"First dose, less than 21 days ago"	1	15541	x		x	x
Female	Deaths involving COVID-19	2021	September	"First dose, at least 21 days ago"	45	69964	325.6		231.7	442.9
Female	Deaths involving COVID-19	2021	September	"Second dose, less than 21 days ago"	2	45409	x		x	x
Female	Deaths involving COVID-19	2021	September	"Second dose, between 21 days and 6 months ago"	737	1164738	46.6		43.2	50.0
Female	Deaths involving COVID-19	2021	September	"Second dose, at least 6 months ago"	122	70439	55.8		38.3	73.3
Female	Deaths involving COVID-19	2021	September	"Third dose or booster, less than 21 days ago"	0	6079	x		x	x
Female	Deaths involving COVID-19	2021	September	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	Deaths involving COVID-19	2021	September	Ever vaccinated	907	1372169	47.2		44.1	50.3
Female	Deaths involving COVID-19	2021	October	Unvaccinated	205	286489	292.2		250.1	334.3
Female	Deaths involving COVID-19	2021	October	"First dose, less than 21 days ago"	0	17728	x		x	x
Female	Deaths involving COVID-19	2021	October	"First dose, at least 21 days ago"	35	67772	251.7		169.7	357.4
Female	Deaths involving COVID-19	2021	October	"Second dose, less than 21 days ago"	0	15121	x		x	x
Female	Deaths involving COVID-19	2021	October	"Second dose, between 21 days and 6 months ago"	331	966768	48.0		42.1	53.9
Female	Deaths involving COVID-19	2021	October	"Second dose, at least 6 months ago"	589	200581	101.2		90.7	111.7
Female	Deaths involving COVID-19	2021	October	"Third dose or booster, less than 21 days ago"	51	139937	8.5		6.0	11.6
Female	Deaths involving COVID-19	2021	October	"Third dose or booster, at least 21 days ago"	7	32137	x		x	x
Female	Deaths involving COVID-19	2021	October	Ever vaccinated	1013	1440043	50.3		47.2	53.5
Female	Deaths involving COVID-19	2021	November	Unvaccinated	229	249484	325.6		280.7	370.5
Female	Deaths involving COVID-19	2021	November	"First dose, less than 21 days ago"	4	18432	x		x	x
Female	Deaths involving COVID-19	2021	November	"First dose, at least 21 days ago"	26	76959	199.3		126.6	296.8
Female	Deaths involving COVID-19	2021	November	"Second dose, less than 21 days ago"	1	9924	x		x	x
Female	Deaths involving COVID-19	2021	November	"Second dose, between 21 days and 6 months ago"	78	599559	92.8		68.0	122.0
Female	Deaths involving COVID-19	2021	November	"Second dose, at least 6 months ago"	671	247176	178.2		164.4	192.0
Female	Deaths involving COVID-19	2021	November	"Third dose or booster, less than 21 days ago"	61	216497	14.0		10.3	18.6
Female	Deaths involving COVID-19	2021	November	"Third dose or booster, at least 21 days ago"	93	251183	14.0		10.1	18.6
Female	Deaths involving COVID-19	2021	November	Ever vaccinated	934	1419730	48.3		45.2	51.4
Female	Deaths involving COVID-19	2021	December	Unvaccinated	309	240463	429.0		378.3	479.8
Female	Deaths involving COVID-19	2021	December	"First dose, less than 21 days ago"	0	10899	x		x	x
Female	Deaths involving COVID-19	2021	December	"First dose, at least 21 days ago"	40	84775	363.5		253.7	502.4
Female	Deaths involving COVID-19	2021	December	"Second dose, less than 21 days ago"	0	14841	x		x	x
Female	Deaths involving COVID-19	2021	December	"Second dose, between 21 days and 6 months ago"	31	296734	145.2		90.7	216.4
Female	Deaths involving COVID-19	2021	December	"Second dose, at least 6 months ago"	479	188096	333.5		302.0	364.9
Female	Deaths involving COVID-19	2021	December	"Third dose or booster, less than 21 days ago"	53	294251	29.9		22.0	39.7
Female	Deaths involving COVID-19	2021	December	"Third dose or booster, at least 21 days ago"	278	593053	18.7		16.1	21.3
Female	Deaths involving COVID-19	2021	December	Ever vaccinated	881	1482648	44.1		41.1	47
Female	Deaths involving COVID-19	2022	January	Unvaccinated	304	226355	458.0		404.4	511.7
Female	Deaths involving COVID-19	2022	January	"First dose, less than 21 days ago"	4	9191	x		x	x
Female	Deaths involving COVID-19	2022	January	"First dose, at least 21 days ago"	52	77139	503.6		370.1	667.9
Female	Deaths involving COVID-19	2022	January	"Second dose, less than 21 days ago"	3	15862	x		x	x
Female	Deaths involving COVID-19	2022	January	"Second dose, between 21 days and 6 months ago"	38	135814	433.8		298.8	605.8
Female	Deaths involving COVID-19	2022	January	"Second dose, at least 6 months ago"	520	122921	646.9		588.8	705.0
Female	Deaths involving COVID-19	2022	January	"Third dose or booster, less than 21 days ago"	38	122383	110.1		75.1	154.8
Female	Deaths involving COVID-19	2022	January	"Third dose or booster, at least 21 days ago"	1139	1011650	58.4		55.0	61.9
Female	Deaths involving COVID-19	2022	January	Ever vaccinated	1794	1494960	86.4		82.4	90.5
Female	Deaths involving COVID-19	2022	February	Unvaccinated	130	196441	215.9		177.0	254.8
Female	Deaths involving COVID-19	2022	February	"First dose, less than 21 days ago"	0	4840	x		x	x
Female	Deaths involving COVID-19	2022	February	"First dose, at least 21 days ago"	31	61984	330.7		217.3	479.1
Female	Deaths involving COVID-19	2022	February	"Second dose, less than 21 days ago"	1	12881	x		x	x
Female	Deaths involving COVID-19	2022	February	"Second dose, between 21 days and 6 months ago"	7	99502	x		x	x
Female	Deaths involving COVID-19	2022	February	"Second dose, at least 6 months ago"	175	121325	277.5		234.9	320.1
Female	Deaths involving COVID-19	2022	February	"Third dose or booster, less than 21 days ago"	6	17120	x		x	x
Female	Deaths involving COVID-19	2022	February	"Third dose or booster, at least 21 days ago"	873	1039181	48.1		44.9	51.4
Female	Deaths involving COVID-19	2022	February	Ever vaccinated	1093	1356833	57.7		54.2	61.1
Female	Deaths involving COVID-19	2022	March	Unvaccinated	101	213620	157.3		125.4	189.3
Female	Deaths involving COVID-19	2022	March	"First dose, less than 21 days ago"	0	2368	x		x	x
Female	Deaths involving COVID-19	2022	March	"First dose, at least 21 days ago"	25	63108	251.9		157.7	379.1
Female	Deaths involving COVID-19	2022	March	"Second dose, less than 21 days ago"	0	8246	x		x	x
Female	Deaths involving COVID-19	2022	March	"Second dose, between 21 days and 6 months ago"	12	93351	174.0	u	83.3	314.0
Female	Deaths involving COVID-19	2022	March	"Second dose, at least 6 months ago"	129	154419	194.6		159.8	229.5
Female	Deaths involving COVID-19	2022	March	"Third dose or booster, less than 21 days ago"	2	10020	x		x	x
