"Monthly age-standardised mortality rates by vaccination status by age group by sex for all cause deaths and deaths involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"											
This worksheet contains 1 table.											
"Source: Source: Office for National Statistics, National Immunisation Management Service."											
Sex	Cause of Death	Year	Month	Age group	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
Female	All causes	2021	February	80-89	"First dose, at least 21 days ago"	3320	56416	5800.7		5603.2	5998.1
Female	All causes	2021	February	80-89	"Second dose, less than 21 days ago"	13	215	5934.4	u	3157.8	10151.1
Female	All causes	2021	February	80-89	"Second dose, at least 21 days ago"	257	10682	2402.0		2108.3	2695.7
Female	All causes	2021	February	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	90+	Unvaccinated	1874	2258	82981.1		79266.1	86825.2
Female	All causes	2021	February	90+	"First dose, less than 21 days ago"	1094	4901	22320.9		21017.7	23683.9
Female	All causes	2021	February	90+	"First dose, at least 21 days ago"	3042	13780	22075.0		21297.5	22873.7
Female	All causes	2021	February	90+	"Second dose, less than 21 days ago"	8	54	14679.7	u	6320.8	28926.7
Female	All causes	2021	February	90+	"Second dose, at least 21 days ago"	128	1995	6417.3		5353.7	7630.3
Female	All causes	2021	February	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	18-39	Unvaccinated	122	370445	34.2		28.1	40.2
Female	All causes	2021	March	18-39	"First dose, less than 21 days ago"	16	38127	37.8	u	21.4	61.7
Female	All causes	2021	March	18-39	"First dose, at least 21 days ago"	46	69878	62.8		45.7	84.1
Female	All causes	2021	March	18-39	"Second dose, less than 21 days ago"	<3	7691	x		x	x
Female	All causes	2021	March	18-39	"Second dose, at least 21 days ago"	<3	2857	x		x	x
Female	All causes	2021	March	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	40-49	Unvaccinated	179	154011	116.9		99.7	134.0
Female	All causes	2021	March	40-49	"First dose, less than 21 days ago"	33	32802	97.9		67.2	137.8
Female	All causes	2021	March	40-49	"First dose, at least 21 days ago"	104	52021	196.5		158.6	234.5
Female	All causes	2021	March	40-49	"Second dose, less than 21 days ago"	<3	6004	x		x	x
Female	All causes	2021	March	40-49	"Second dose, at least 21 days ago"	<3	2565	x		x	x
Female	All causes	2021	March	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	50-59	Unvaccinated	454	108928	425.6		386.3	464.8
Female	All causes	2021	March	50-59	"First dose, less than 21 days ago"	116	83793	135.9		111.0	160.8
Female	All causes	2021	March	50-59	"First dose, at least 21 days ago"	324	78692	404.8		360.5	449.1
Female	All causes	2021	March	50-59	"Second dose, less than 21 days ago"	6	7924	73.3	u	26.9	159.6
Female	All causes	2021	March	50-59	"Second dose, at least 21 days ago"	<3	3544	x		x	x
Female	All causes	2021	March	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	60-69	Unvaccinated	652	31946	2715.2		2487.1	2943.4
Female	All causes	2021	March	60-69	"First dose, less than 21 days ago"	168	66965	303.6		255.7	351.5
Female	All causes	2021	March	60-69	"First dose, at least 21 days ago"	791	123443	636.8		590.9	682.7
Female	All causes	2021	March	60-69	"Second dose, less than 21 days ago"	12	4335	356.2	u	179.6	629.0
Female	All causes	2021	March	60-69	"Second dose, at least 21 days ago"	4	1806	312.2	u	76.6	817.4
Female	All causes	2021	March	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	70-79	Unvaccinated	752	7724	9916.1		9203.8	10628.5
Female	All causes	2021	March	70-79	"First dose, less than 21 days ago"	167	4300	5037.9		4216.0	5859.8
Female	All causes	2021	March	70-79	"First dose, at least 21 days ago"	2603	173454	1518.1		1459.8	1576.5
Female	All causes	2021	March	70-79	"Second dose, less than 21 days ago"	82	4709	1570.3		1223.1	1979.5
Female	All causes	2021	March	70-79	"Second dose, at least 21 days ago"	13	910	1344.3	u	682.8	2348.7
Female	All causes	2021	March	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	80-89	Unvaccinated	896	3996	21977.0		20532.4	23421.6
Female	All causes	2021	March	80-89	"First dose, less than 21 days ago"	217	1192	17538.3		15169.9	19906.6
Female	All causes	2021	March	80-89	"First dose, at least 21 days ago"	4419	69277	6295.9		6110.1	6481.7
Female	All causes	2021	March	80-89	"Second dose, less than 21 days ago"	320	11767	2648.7		2357.8	2939.5
Female	All causes	2021	March	80-89	"Second dose, at least 21 days ago"	371	13017	2837.0		2548.2	3125.7
Female	All causes	2021	March	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	90+	Unvaccinated	624	1351	46190.5		42636.8	49961.3
Female	All causes	2021	March	90+	"First dose, less than 21 days ago"	147	496	29613.9		25019.8	34807.0
Female	All causes	2021	March	90+	"First dose, at least 21 days ago"	3645	17944	20313.2		19659.0	20983.6
Female	All causes	2021	March	90+	"Second dose, less than 21 days ago"	319	3104	10276.5		9179.6	11468.4
Female	All causes	2021	March	90+	"Second dose, at least 21 days ago"	209	2552	8189.4		7116.7	9378.2
Female	All causes	2021	March	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	18-39	Unvaccinated	89	325416	29.1		23.4	35.9
Female	All causes	2021	April	18-39	"First dose, less than 21 days ago"	6	18232	30.3	u	11.0	66.1
Female	All causes	2021	April	18-39	"First dose, at least 21 days ago"	88	85530	97.2		77.6	120.2
Female	All causes	2021	April	18-39	"Second dose, less than 21 days ago"	9	25500	33.4	u	15.2	63.4
Female	All causes	2021	April	18-39	"Second dose, at least 21 days ago"	7	18106	36.2	u	14.4	75.0
Female	All causes	2021	April	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	40-49	Unvaccinated	125	103826	126.6		104.2	149.1
Female	All causes	2021	April	40-49	"First dose, less than 21 days ago"	16	30704	59.6	u	32.5	99.0
Female	All causes	2021	April	40-49	"First dose, at least 21 days ago"	151	71801	209.9		176.2	243.7
Female	All causes	2021	April	40-49	"Second dose, less than 21 days ago"	16	18486	84.2	u	48.0	137.0
Female	All causes	2021	April	40-49	"Second dose, at least 21 days ago"	10	14182	66.1	u	31.6	121.6
Female	All causes	2021	April	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	50-59	Unvaccinated	200	25341	802.4		691.0	913.8
Female	All causes	2021	April	50-59	"First dose, less than 21 days ago"	28	38656	75.1		49.6	108.8
Female	All causes	2021	April	50-59	"First dose, at least 21 days ago"	456	164468	273.0		247.8	298.1
Female	All causes	2021	April	50-59	"Second dose, less than 21 days ago"	38	26326	141.4		100.0	194.2
Female	All causes	2021	April	50-59	"Second dose, at least 21 days ago"	31	19058	160.9		109.2	228.4
Female	All causes	2021	April	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	60-69	Unvaccinated	321	13155	2546.4		2264.7	2828.2
Female	All causes	2021	April	60-69	"First dose, less than 21 days ago"	31	5764	779.8		473.2	1180.9
Female	All causes	2021	April	60-69	"First dose, at least 21 days ago"	986	164265	602.2		564.6	639.8
Female	All causes	2021	April	60-69	"Second dose, less than 21 days ago"	115	27401	411.7		335.4	487.9
Female	All causes	2021	April	60-69	"Second dose, at least 21 days ago"	65	10938	669.8		512.2	859.5
Female	All causes	2021	April	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	70-79	Unvaccinated	355	6210	5879.5		5263.8	6495.2
Female	All causes	2021	April	70-79	"First dose, less than 21 days ago"	37	557	6830.3		4796.5	9430.8
Female	All causes	2021	April	70-79	"First dose, at least 21 days ago"	2146	90281	2651.8		2536.1	2767.5
Female	All causes	2021	April	70-79	"Second dose, less than 21 days ago"	521	72614	688.9		629.1	748.7
Female	All causes	2021	April	70-79	"Second dose, at least 21 days ago"	276	15745	1725.0		1504.3	1945.8
Female	All causes	2021	April	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	80-89	Unvaccinated	486	3102	15383.4		14011.5	16755.3
Female	All causes	2021	April	80-89	"First dose, less than 21 days ago"	51	277	17549.7		13014.3	23139.6
Female	All causes	2021	April	80-89	"First dose, at least 21 days ago"	2509	16765	14637.5		14063.4	15211.7
Female	All causes	2021	April	80-89	"Second dose, less than 21 days ago"	1098	38050	2862.3		2693.0	3031.7
Female	All causes	2021	April	80-89	"Second dose, at least 21 days ago"	1425	37881	3697.8		3505.6	3890.1
Female	All causes	2021	April	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	90+	Unvaccinated	311	1031	30154.2		26895.5	33698.9
Female	All causes	2021	April	90+	"First dose, less than 21 days ago"	34	109	31132.6		21556.8	43506.3
Female	All causes	2021	April	90+	"First dose, at least 21 days ago"	1787	5215	34265.0		32694.5	35891.4
Female	All causes	2021	April	90+	"Second dose, less than 21 days ago"	1069	9320	11470.4		10793.0	12179.2
Female	All causes	2021	April	90+	"Second dose, at least 21 days ago"	1239	9092	13626.7		12878.4	14407.1
Female	All causes	2021	April	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	18-39	Unvaccinated	71	305920	26.0		20.2	32.9
Female	All causes	2021	May	18-39	"First dose, less than 21 days ago"	<3	27302	x		x	x
Female	All causes	2021	May	18-39	"First dose, at least 21 days ago"	45	65899	64.6		46.8	86.9
Female	All causes	2021	May	18-39	"Second dose, less than 21 days ago"	16	32091	44.8	u	25.4	73.1
Female	All causes	2021	May	18-39	"Second dose, at least 21 days ago"	28	56908	50.3		32.4	74.0
Female	All causes	2021	May	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	40-49	Unvaccinated	108	50879	246.5		199.0	294.0
Female	All causes	2021	May	40-49	"First dose, less than 21 days ago"	12	39408	33.2	u	16.8	58.5
Female	All causes	2021	May	40-49	"First dose, at least 21 days ago"	132	85817	150.9		124.5	177.3
Female	All causes	2021	May	40-49	"Second dose, less than 21 days ago"	31	27578	109.3		74.0	155.4
Female	All causes	2021	May	40-49	"Second dose, at least 21 days ago"	60	42922	141.0		107.5	181.7
Female	All causes	2021	May	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	50-59	Unvaccinated	151	23348	656.8		551.9	761.7
Female	All causes	2021	May	50-59	"First dose, less than 21 days ago"	3	1913	126.3	u	26.0	369.2
Female	All causes	2021	May	50-59	"First dose, at least 21 days ago"	347	140664	246.1		220.2	272.0
Female	All causes	2021	May	50-59	"Second dose, less than 21 days ago"	92	55131	164.3		132.3	201.7
Female	All causes	2021	May	50-59	"Second dose, at least 21 days ago"	180	61972	285.1		243.3	326.8
Female	All causes	2021	May	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	60-69	Unvaccinated	207	12591	1693.4		1460.2	1926.6
Female	All causes	2021	May	60-69	"First dose, less than 21 days ago"	10	633	1812.7	u	854.0	3358.3
Female	All causes	2021	May	60-69	"First dose, at least 21 days ago"	660	66535	1316.7		1207.5	1425.9
Female	All causes	2021	May	60-69	"Second dose, less than 21 days ago"	223	82206	264.4		229.3	299.5
Female	All causes	2021	May	60-69	"Second dose, at least 21 days ago"	433	67319	625.3		565.4	685.1
Female	All causes	2021	May	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	70-79	Unvaccinated	311	6012	5333.8		4736.6	5931.0
Female	All causes	2021	May	70-79	"First dose, less than 21 days ago"	13	218	5855.0	u	3106.4	10029.3
Female	All causes	2021	May	70-79	"First dose, at least 21 days ago"	976	6489	16478.1		15418.4	17537.8
Female	All causes	2021	May	70-79	"Second dose, less than 21 days ago"	407	45557	1070.0		959.3	1180.7
Female	All causes	2021	May	70-79	"Second dose, at least 21 days ago"	1642	133725	1196.6		1138.4	1254.7
Female	All causes	2021	May	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	80-89	Unvaccinated	293	2963	9730.2		8612.8	10847.5
Female	All causes	2021	May	80-89	"First dose, less than 21 days ago"	17	110	14806.2	u	8576.1	23776.7
Female	All causes	2021	May	80-89	"First dose, at least 21 days ago"	1027	2562	39112.1		36688.9	41535.3
Female	All causes	2021	May	80-89	"Second dose, less than 21 days ago"	379	5917	6281.6		5647.0	6916.2
Female	All causes	2021	May	80-89	"Second dose, at least 21 days ago"	3964	87829	4454.2		4315.5	4593.0
Female	All causes	2021	May	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	90+	Unvaccinated	222	973	22826.1		19921.9	26034.7
Female	All causes	2021	May	90+	"First dose, less than 21 days ago"	4	43	9311.1	u	2505.0	23838.4
Female	All causes	2021	May	90+	"First dose, at least 21 days ago"	666	1006	66210.2		61276.4	71435.5
Female	All causes	2021	May	90+	"Second dose, less than 21 days ago"	310	2017	15371.3		13707.5	17181.3
Female	All causes	2021	May	90+	"Second dose, at least 21 days ago"	3375	21661	15580.8		15059.6	16115.6
Female	All causes	2021	May	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	May	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	18-39	Unvaccinated	48	202198	31.8		23.0	42.7
Female	All causes	2021	June	18-39	"First dose, less than 21 days ago"	7	70445	9.7	u	3.9	20.0
Female	All causes	2021	June	18-39	"First dose, at least 21 days ago"	25	67501	35.8		21.3	55.5
Female	All causes	2021	June	18-39	"Second dose, less than 21 days ago"	4	30352	11.7	u	3.1	30.2
Female	All causes	2021	June	18-39	"Second dose, at least 21 days ago"	50	101438	45.2		33.4	59.7
Female	All causes	2021	June	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	40-49	Unvaccinated	72	33188	232.4		181.4	293.3
Female	All causes	2021	June	40-49	"First dose, less than 21 days ago"	7	6808	148.6	u	58.0	309.3
Female	All causes	2021	June	40-49	"First dose, at least 21 days ago"	71	78068	91.6		71.6	115.6
Female	All causes	2021	June	40-49	"Second dose, less than 21 days ago"	18	37195	47.0	u	27.5	74.8
Female	All causes	2021	June	40-49	"Second dose, at least 21 days ago"	136	83036	162.0		134.6	189.4
Female	All causes	2021	June	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	50-59	Unvaccinated	137	20700	666.6		554.8	778.3
Female	All causes	2021	June	50-59	"First dose, less than 21 days ago"	6	1225	503.3	u	181.3	1101.9
Female	All causes	2021	June	50-59	"First dose, at least 21 days ago"	182	25542	739.1		631.1	847.2
Female	All causes	2021	June	50-59	"Second dose, less than 21 days ago"	61	75472	80.4		61.5	103.3
Female	All causes	2021	June	50-59	"Second dose, at least 21 days ago"	389	151050	253.3		228.0	278.5
Female	All causes	2021	June	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	60-69	Unvaccinated	140	11478	1255.9		1045.7	1466.1
Female	All causes	2021	June	60-69	"First dose, less than 21 days ago"	<3	461	x		x	x
Female	All causes	2021	June	60-69	"First dose, at least 21 days ago"	305	6642	5429.9		4778.7	6081.1
Female	All causes	2021	June	60-69	"Second dose, less than 21 days ago"	90	29519	468.4		359.5	595.8
Female	All causes	2021	June	60-69	"Second dose, at least 21 days ago"	905	174114	513.0		479.4	546.5
Female	All causes	2021	June	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	70-79	Unvaccinated	214	5579	3965.2		3430.0	4500.4
Female	All causes	2021	June	70-79	"First dose, less than 21 days ago"	9	160	5987.6	u	2722.0	11392.5
Female	All causes	2021	June	70-79	"First dose, at least 21 days ago"	427	1910	22679.8		20523.3	24836.4
Female	All causes	2021	June	70-79	"Second dose, less than 21 days ago"	82	1906	4593.9		3634.2	5725.3
Female	All causes	2021	June	70-79	"Second dose, at least 21 days ago"	2618	176726	1490.0		1432.9	1547.1
Female	All causes	2021	June	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	80-89	Unvaccinated	274	2736	9848.8		8679.3	11018.4
Female	All causes	2021	June	80-89	"First dose, less than 21 days ago"	3	75	4001.2	u	822.4	11699.8
Female	All causes	2021	June	80-89	"First dose, at least 21 days ago"	424	1081	38036.8		34363.6	41709.9
Female	All causes	2021	June	80-89	"Second dose, less than 21 days ago"	91	764	11595.4		9311.7	14264.8
Female	All causes	2021	June	80-89	"Second dose, at least 21 days ago"	4634	91620	4981.6		4838.0	5125.2
Female	All causes	2021	June	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	June	90+	Unvaccinated	208	897	23190.2		20145.4	26565.2
