"Whole period counts of all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, and person-years by vaccination status and five-year age group, England, deaths occurring between 1 January 2021 and 31 May 2022"					
This worksheet contains 1 table.					
"Source: Source: Office for National Statistics, National Immunisation Management Service."					
Age group	Vaccination status	Person-years	Count of deaths involving COVID-19	Count of deaths non-COVID-19 deaths	Count of all cause deaths
50-54	"Third dose or booster, at least 21 days ago"	1134549	85	2109	2194
55-59	Unvaccinated	811218	1626	4084	5710
55-59	"First dose, less than 21 days ago"	173094	44	391	435
55-59	"First dose, at least 21 days ago"	469286	113	2494	2607
55-59	"Second dose, less than 21 days ago"	173062	2	341	343
55-59	"Second dose, between 21 days and 6 months ago"	1318673	239	4690	4929
55-59	"Second dose, at least 6 months ago"	220215	181	1965	2146
55-59	"Third dose or booster, less than 21 days ago"	159483	7	314	321
55-59	"Third dose or booster, at least 21 days ago"	1244053	168	3708	3876
60-64	Unvaccinated	619004	2425	5135	7560
60-64	"First dose, less than 21 days ago"	153232	67	544	611
60-64	"First dose, at least 21 days ago"	417699	176	3463	3639
60-64	"Second dose, less than 21 days ago"	153930	2	514	516
60-64	"Second dose, between 21 days and 6 months ago"	1178767	345	6761	7106
60-64	"Second dose, at least 6 months ago"	175218	290	2774	3064
60-64	"Third dose or booster, less than 21 days ago"	146505	17	475	492
60-64	"Third dose or booster, at least 21 days ago"	1180409	265	5866	6131
65-69	Unvaccinated	429644	3051	6303	9354
65-69	"First dose, less than 21 days ago"	134086	122	796	918
65-69	"First dose, at least 21 days ago"	361884	242	4686	4928
65-69	"Second dose, less than 21 days ago"	134189	9	681	690
65-69	"Second dose, between 21 days and 6 months ago"	1026322	445	9597	10042
65-69	"Second dose, at least 6 months ago"	142579	436	3778	4214
65-69	"Third dose or booster, less than 21 days ago"	129293	32	698	730
65-69	"Third dose or booster, at least 21 days ago"	1089793	490	9186	9676
70-74	Unvaccinated	322630	4194	8090	12284
70-74	"First dose, less than 21 days ago"	137755	235	1355	1590
70-74	"First dose, at least 21 days ago"	372505	413	7651	8064
70-74	"Second dose, less than 21 days ago"	137947	12	1193	1205
70-74	"Second dose, between 21 days and 6 months ago"	1049233	708	16101	16809
70-74	"Second dose, at least 6 months ago"	136845	673	6201	6874
70-74	"Third dose or booster, less than 21 days ago"	131781	44	1196	1240
70-74	"Third dose or booster, at least 21 days ago"	1149162	946	15934	16880
75-79	Unvaccinated	181758	5044	8515	13559
75-79	"First dose, less than 21 days ago"	99957	467	1738	2205
75-79	"First dose, at least 21 days ago"	272819	810	9579	10389
75-79	"Second dose, less than 21 days ago"	101660	16	1556	1572
75-79	"Second dose, between 21 days and 6 months ago"	793830	825	20720	21545
75-79	"Second dose, at least 6 months ago"	109217	928	8302	9230
75-79	"Third dose or booster, less than 21 days ago"	103909	74	1599	1673
75-79	"Third dose or booster, at least 21 days ago"	986552	1592	23794	25386
80-84	Unvaccinated	89993	5841	8887	14728
80-84	"First dose, less than 21 days ago"	60797	803	2153	2956
80-84	"First dose, at least 21 days ago"	169997	1414	11035	12449
80-84	"Second dose, less than 21 days ago"	71225	44	1937	1981
80-84	"Second dose, between 21 days and 6 months ago"	545087	852	25161	26013
80-84	"Second dose, at least 6 months ago"	114217	1228	11737	12965
80-84	"Third dose or booster, less than 21 days ago"	68864	81	2041	2122
80-84	"Third dose or booster, at least 21 days ago"	662376	2198	30106	32304
85-89	Unvaccinated	58281	6437	9707	16144
85-89	"First dose, less than 21 days ago"	37103	961	2595	3556
85-89	"First dose, at least 21 days ago"	104886	1797	12234	14031
85-89	"Second dose, less than 21 days ago"	43168	62	2156	2218
85-89	"Second dose, between 21 days and 6 months ago"	334788	835	27721	28556
85-89	"Second dose, at least 6 months ago"	81233	1326	12935	14261
85-89	"Third dose or booster, less than 21 days ago"	42875	106	2414	2520
85-89	"Third dose or booster, at least 21 days ago"	413276	2783	34908	37691
90+	Unvaccinated	40762	7191	11829	19020
90+	"First dose, less than 21 days ago"	21725	1284	3421	4705
90+	"First dose, at least 21 days ago"	61706	2151	14737	16888
90+	"Second dose, less than 21 days ago"	24443	50	2854	2904
90+	"Second dose, between 21 days and 6 months ago"	190688	937	33790	34727
90+	"Second dose, at least 6 months ago"	49520	1364	14910	16274
90+	"Third dose or booster, less than 21 days ago"	24392	118	3283	3401
90+	"Third dose or booster, at least 21 days ago"	229050	3432	43275	46707
