"Monthly age-standardised mortality rates by vaccination status for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"									
This worksheet contains 1 table.									
"Source: Source: Office for National Statistics, National Immunisation Management Service."									
Cause of Death	Year	Month	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
All causes	2021	September	"First dose, at least 21 days ago"	1179	146006	4741.1		4446.5	5035.7
All causes	2021	September	"Second dose, less than 21 days ago"	40	97565	814.4		493.9	1220.4
All causes	2021	September	"Second dose, between 21 days and 6 months ago"	27317	2191849	1005.0		971.9	1038.0
All causes	2021	September	"Second dose, at least 6 months ago"	4878	110001	1095.0		1029.5	1160.4
All causes	2021	September	"Third dose or booster, less than 21 days ago"	76	10104	222.9		156.9	301.2
All causes	2021	September	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	September	Ever vaccinated	33505	2585836	990.3		978	1002.7
All causes	2021	October	Unvaccinated	2154	601252	1623.7		1549.1	1698.3
All causes	2021	October	"First dose, less than 21 days ago"	19	35315	2053.0	u	1198.2	3259.5
All causes	2021	October	"First dose, at least 21 days ago"	1085	138201	4646.6		4346.0	4947.2
All causes	2021	October	"Second dose, less than 21 days ago"	44	31047	1878.2		1320.4	2576.9
All causes	2021	October	"Second dose, between 21 days and 6 months ago"	13298	1897963	1198.7		1163.3	1234.2
All causes	2021	October	"Second dose, at least 6 months ago"	17723	326450	1765.9		1731.1	1800.8
All causes	2021	October	"Third dose or booster, less than 21 days ago"	3628	233820	406.2		386.0	426.3
All causes	2021	October	"Third dose or booster, at least 21 days ago"	1097	53085	508.3		458.4	558.2
All causes	2021	October	Ever vaccinated	36894	2715879	1046.7		1036	1057.5
All causes	2021	November	Unvaccinated	2147	526375	1708.0		1629.7	1786.3
All causes	2021	November	"First dose, less than 21 days ago"	31	36762	3489.5		2286.3	5063.8
All causes	2021	November	"First dose, at least 21 days ago"	807	157492	3902.9		3611.3	4194.5
All causes	2021	November	"Second dose, less than 21 days ago"	44	18956	2154.9		1513.3	2958.4
All causes	2021	November	"Second dose, between 21 days and 6 months ago"	3310	1218875	1879.3		1785.3	1973.2
All causes	2021	November	"Second dose, at least 6 months ago"	17511	432496	2813.4		2770.2	2856.5
All causes	2021	November	"Third dose or booster, less than 21 days ago"	4411	392257	588.8		567.8	609.7
All causes	2021	November	"Third dose or booster, at least 21 days ago"	10599	423687	717.8		697.4	738.3
All causes	2021	November	Ever vaccinated	36713	2680524	1073.9		1062.9	1085
All causes	2021	December	Unvaccinated	2375	509674	1878.5		1796.8	1960.2
All causes	2021	December	"First dose, less than 21 days ago"	19	21502	1951.6	u	1103.4	3148.8
All causes	2021	December	"First dose, at least 21 days ago"	785	173304	4138.6		3826.7	4450.5
All causes	2021	December	"Second dose, less than 21 days ago"	42	29768	1763.5		1211.9	2458.2
All causes	2021	December	"Second dose, between 21 days and 6 months ago"	1096	616543	2379.7		2198.0	2561.3
All causes	2021	December	"Second dose, at least 6 months ago"	11667	339227	4784.6		4693.4	4875.7
All causes	2021	December	"Third dose or booster, less than 21 days ago"	3243	571454	1103.6		957.0	1250.2
All causes	2021	December	"Third dose or booster, at least 21 days ago"	23022	1048887	852.7		837.3	868.1
All causes	2021	December	Ever vaccinated	39874	2800686	1126.7		1115.6	1137.8
All causes	2022	January	Unvaccinated	2166	482035	1812.0		1730.6	1893.5
All causes	2022	January	"First dose, less than 21 days ago"	28	17862	3532.4		2235.2	5253.9
All causes	2022	January	"First dose, at least 21 days ago"	669	157152	3842.5		3531.3	4153.6
All causes	2022	January	"Second dose, less than 21 days ago"	37	31915	2300.0		1546.9	3263.1
All causes	2022	January	"Second dose, between 21 days and 6 months ago"	510	286474	2730.3		2449.0	3011.6
All causes	2022	January	"Second dose, at least 6 months ago"	6400	222173	4877.1		4653.4	5100.8
All causes	2022	January	"Third dose or booster, less than 21 days ago"	1046	242240	1779.7		1662.7	1896.7
All causes	2022	January	"Third dose or booster, at least 21 days ago"	29767	1866974	935.9		878.9	992.9
All causes	2022	January	Ever vaccinated	38457	2824790	1084.5		1073.6	1095.3
All causes	2022	February	Unvaccinated	1493	420084	1384.5		1309.6	1459.4
All causes	2022	February	"First dose, less than 21 days ago"	10	9294	2573.2	u	1015.6	5084.4
All causes	2022	February	"First dose, at least 21 days ago"	431	125985	2761.9		2479.7	3044.1
All causes	2022	February	"Second dose, less than 21 days ago"	12	25646	1701.8	u	865.9	2993.3
All causes	2022	February	"Second dose, between 21 days and 6 months ago"	268	208036	2025.5		1741.9	2309.2
All causes	2022	February	"Second dose, at least 6 months ago"	3481	228825	3208.8		3097.0	3320.6
All causes	2022	February	"Third dose or booster, less than 21 days ago"	187	32512	1965.4		1669.1	2261.6
All causes	2022	February	"Third dose or booster, at least 21 days ago"	28224	1933554	924.6		913.7	935.6
All causes	2022	February	Ever vaccinated	32613	2563852	1015.7		1004.6	1026.7
All causes	2022	March	Unvaccinated	1437	457356	1231.7		1164.0	1299.5
All causes	2022	March	"First dose, less than 21 days ago"	7	4749	x		x	x
All causes	2022	March	"First dose, at least 21 days ago"	412	128230	2402.5		2149.5	2655.6
All causes	2022	March	"Second dose, less than 21 days ago"	5	16323	x		x	x
All causes	2022	March	"Second dose, between 21 days and 6 months ago"	251	189310	2252.2		1939.9	2564.5
All causes	2022	March	"Second dose, at least 6 months ago"	3057	302091	2667.1		2567.5	2766.6
All causes	2022	March	"Third dose or booster, less than 21 days ago"	95	19143	1955.3		1568.6	2405.9
All causes	2022	March	"Third dose or booster, at least 21 days ago"	31521	2183457	980.1		926.1	1034.1
All causes	2022	March	Ever vaccinated	35348	2843304	992.6		982.2	1003
All causes	2022	April	Unvaccinated	1349	437563	1204.6		1136.5	1272.7
All causes	2022	April	"First dose, less than 21 days ago"	10	3205	6578.6	u	2990.6	12363.0
All causes	2022	April	"First dose, at least 21 days ago"	391	112311	2497.9		2230.6	2765.2
All causes	2022	April	"Second dose, less than 21 days ago"	12	11738	2786.2	u	1358.8	4991.8
All causes	2022	April	"Second dose, between 21 days and 6 months ago"	202	165006	2333.5		1975.4	2691.6
All causes	2022	April	"Second dose, at least 6 months ago"	2518	310924	2355.6		2257.9	2453.3
All causes	2022	April	"Third dose or booster, less than 21 days ago"	86	14282	1522.5		1193.9	1908.4
All causes	2022	April	"Third dose or booster, at least 21 days ago"	31666	2136115	966.1		942.4	989.8
All causes	2022	April	Ever vaccinated	34885	2753581	1008.8		998.2	1019.4
All causes	2022	May	Unvaccinated	1017	448434	872.9		816.1	929.7
All causes	2022	May	"First dose, less than 21 days ago"	1	2291	x		x	x
All causes	2022	May	"First dose, at least 21 days ago"	301	107764	1873.4		1643.7	2103.0
All causes	2022	May	"Second dose, less than 21 days ago"	9	8424	x		x	x
All causes	2022	May	"Second dose, between 21 days and 6 months ago"	133	159940	1815.9		1465.0	2166.8
All causes	2022	May	"Second dose, at least 6 months ago"	1786	328732	1703.7		1619.4	1788.0
All causes	2022	May	"Third dose or booster, less than 21 days ago"	96	13292	2056.0		1596.5	2591.0
All causes	2022	May	"Third dose or booster, at least 21 days ago"	27142	2225731	797.0		778.8	815.1
All causes	2022	May	Ever vaccinated	29468	2846174	822.6		813.2	832
Deaths involving COVID-19	2021	January	Unvaccinated	24364	3050246	1187.2		1171.7	1202.7
Deaths involving COVID-19	2021	January	"First dose, less than 21 days ago"	2392	221773	740.4		-167.6	1648.4
Deaths involving COVID-19	2021	January	"First dose, at least 21 days ago"	1025	35929	741.0		613.7	868.4
Deaths involving COVID-19	2021	January	"Second dose, less than 21 days ago"	65	23304	21.8		16.7	27.9
Deaths involving COVID-19	2021	January	"Second dose, between 21 days and 6 months ago"	11	4050	23.2	u	11.3	41.8
Deaths involving COVID-19	2021	January	"Second dose, at least 6 months ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	January	Ever vaccinated	3493	285056	672		-74.8	1418.8
Deaths involving COVID-19	2021	February	Unvaccinated	7660	2152780	2174.3		2117.0	2231.7
Deaths involving COVID-19	2021	February	"First dose, less than 21 days ago"	1452	451058	203.2		191.7	214.7
Deaths involving COVID-19	2021	February	"First dose, at least 21 days ago"	3369	373179	228.9		217.4	240.4
Deaths involving COVID-19	2021	February	"Second dose, less than 21 days ago"	5	3334	x		x	x
Deaths involving COVID-19	2021	February	"Second dose, between 21 days and 6 months ago"	66	31409	24.7		9.5	42.9
Deaths involving COVID-19	2021	February	"Second dose, at least 6 months ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	February	Ever vaccinated	4892	858980	183.7		177.6	189.8
Deaths involving COVID-19	2021	March	Unvaccinated	1311	1760561	591.9		554.5	629.2
Deaths involving COVID-19	2021	March	"First dose, less than 21 days ago"	134	440892	185.8		147.1	224.5
Deaths involving COVID-19	2021	March	"First dose, at least 21 days ago"	1574	1018489	66.0		62.4	69.7
Deaths involving COVID-19	2021	March	"Second dose, less than 21 days ago"	29	69498	11.7		6.0	19.2
Deaths involving COVID-19	2021	March	"Second dose, between 21 days and 6 months ago"	36	45212	20.4		2.6	43.4
Deaths involving COVID-19	2021	March	"Second dose, at least 6 months ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	March	Ever vaccinated	1773	1574091	53.7		51.1	56.3
Deaths involving COVID-19	2021	April	Unvaccinated	238	1342265	145.8		125.4	166.1
Deaths involving COVID-19	2021	April	"First dose, less than 21 days ago"	20	192744	125.6		68.5	205.5
Deaths involving COVID-19	2021	April	"First dose, at least 21 days ago"	402	1129337	47.6		42.5	52.6
Deaths involving COVID-19	2021	April	"Second dose, less than 21 days ago"	42	365753	3.2		2.3	4.4
Deaths involving COVID-19	2021	April	"Second dose, between 21 days and 6 months ago"	60	196885	7.6		4.7	11.2
Deaths involving COVID-19	2021	April	"Second dose, at least 6 months ago"	0	0	x		x	x
Deaths involving COVID-19	2021	April	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	April	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	April	Ever vaccinated	524	1884719	15.7		14.3	17
Deaths involving COVID-19	2021	May	Unvaccinated	77	1192047	45.5		34.7	58.2
Deaths involving COVID-19	2021	May	"First dose, less than 21 days ago"	4	145992	x		x	x
Deaths involving COVID-19	2021	May	"First dose, at least 21 days ago"	112	731409	74.2		57.7	90.7
Deaths involving COVID-19	2021	May	"Second dose, less than 21 days ago"	27	469323	7.5		4.6	11.4
Deaths involving COVID-19	2021	May	"Second dose, between 21 days and 6 months ago"	70	793018	2.8		2.0	3.7
Deaths involving COVID-19	2021	May	"Second dose, at least 6 months ago"	0	0	x		x	x
Deaths involving COVID-19	2021	May	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	May	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	May	Ever vaccinated	213	2139742	6.2		5.4	7.1
Deaths involving COVID-19	2021	June	Unvaccinated	97	912365	55.6		43.6	69.7
Deaths involving COVID-19	2021	June	"First dose, less than 21 days ago"	1	167751	x		x	x
Deaths involving COVID-19	2021	June	"First dose, at least 21 days ago"	46	371872	82.0		56.1	114.4
Deaths involving COVID-19	2021	June	"Second dose, less than 21 days ago"	8	350959	x		x	x
Deaths involving COVID-19	2021	June	"Second dose, between 21 days and 6 months ago"	169	1418715	5.7		4.7	6.6
Deaths involving COVID-19	2021	June	"Second dose, at least 6 months ago"	0	24	x		x	x
Deaths involving COVID-19	2021	June	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	June	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	June	Ever vaccinated	224	2309320	6.7		5.8	7.6
Deaths involving COVID-19	2021	July	Unvaccinated	337	756390	218.2		192.1	244.4
Deaths involving COVID-19	2021	July	"First dose, less than 21 days ago"	5	107953	x		x	x
Deaths involving COVID-19	2021	July	"First dose, at least 21 days ago"	69	367172	186.4		139.9	242.1
Deaths involving COVID-19	2021	July	"Second dose, less than 21 days ago"	5	167400	x		x	x
Deaths involving COVID-19	2021	July	"Second dose, between 21 days and 6 months ago"	701	1901584	22.8		21.0	24.6
Deaths involving COVID-19	2021	July	"Second dose, at least 6 months ago"	55	25778	15.7		11.8	20.5
Deaths involving COVID-19	2021	July	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	July	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	July	Ever vaccinated	835	2569887	24.1		22.5	25.8
Deaths involving COVID-19	2021	August	Unvaccinated	590	698750	404.2		368.1	440.3
Deaths involving COVID-19	2021	August	"First dose, less than 21 days ago"	8	36133	x		x	x
Deaths involving COVID-19	2021	August	"First dose, at least 21 days ago"	83	262864	288.0		223.3	364.1
Deaths involving COVID-19	2021	August	"Second dose, less than 21 days ago"	4	157735	x		x	x
Deaths involving COVID-19	2021	August	"Second dose, between 21 days and 6 months ago"	1451	2129533	45.4		43.0	47.8
Deaths involving COVID-19	2021	August	"Second dose, at least 6 months ago"	111	38263	69.5		27.7	111.2
Deaths involving COVID-19	2021	August	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	August	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	August	Ever vaccinated	1657	2624527	47.2		44.9	49.5
Deaths involving COVID-19	2021	September	Unvaccinated	496	627309	367.8		332.5	403.1
Deaths involving COVID-19	2021	September	"First dose, less than 21 days ago"	2	30311	x		x	x
Deaths involving COVID-19	2021	September	"First dose, at least 21 days ago"	92	146006	372.1		293.8	463.6
Deaths involving COVID-19	2021	September	"Second dose, less than 21 days ago"	2	97565	x		x	x
Deaths involving COVID-19	2021	September	"Second dose, between 21 days and 6 months ago"	1738	2191849	61.9		58.9	64.8
Deaths involving COVID-19	2021	September	"Second dose, at least 6 months ago"	330	110001	86.2		68.7	103.7
Deaths involving COVID-19	2021	September	"Third dose or booster, less than 21 days ago"	0	10104	x		x	x
Deaths involving COVID-19	2021	September	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Deaths involving COVID-19	2021	September	Ever vaccinated	2164	2585836	65.7		60.5	70.9
Deaths involving COVID-19	2021	October	Unvaccinated	430	601252	322.3		289.2	355.3
Deaths involving COVID-19	2021	October	"First dose, less than 21 days ago"	0	35315	x		x	x
Deaths involving COVID-19	2021	October	"First dose, at least 21 days ago"	71	138201	330.6		254.0	422.0
Deaths involving COVID-19	2021	October	"Second dose, less than 21 days ago"	1	31047	x		x	x
Deaths involving COVID-19	2021	October	"Second dose, between 21 days and 6 months ago"	769	1897963	63.0		57.7	68.3
Deaths involving COVID-19	2021	October	"Second dose, at least 6 months ago"	1360	326450	141.4		131.7	151.1
Deaths involving COVID-19	2021	October	"Third dose or booster, less than 21 days ago"	139	233820	14.2		11.3	17.0
Deaths involving COVID-19	2021	October	"Third dose or booster, at least 21 days ago"	29	53085	19.4		10.3	31.2
Deaths involving COVID-19	2021	October	Ever vaccinated	2369	2715879	67		64.3	69.7
Deaths involving COVID-19	2021	November	Unvaccinated	556	526375	421.3		383.1	459.5
Deaths involving COVID-19	2021	November	"First dose, less than 21 days ago"	5	36762	x		x	x
Deaths involving COVID-19	2021	November	"First dose, at least 21 days ago"	60	157492	297.9		222.9	388.8
Deaths involving COVID-19	2021	November	"Second dose, less than 21 days ago"	2	18956	x		x	x
Deaths involving COVID-19	2021	November	"Second dose, between 21 days and 6 months ago"	199	1218875	110.7		88.8	132.5
Deaths involving COVID-19	2021	November	"Second dose, at least 6 months ago"	1676	432496	266.7		253.6	279.7
Deaths involving COVID-19	2021	November	"Third dose or booster, less than 21 days ago"	141	392257	18.6		15.0	22.2
Deaths involving COVID-19	2021	November	"Third dose or booster, at least 21 days ago"	292	423687	27.1		21.5	32.7
Deaths involving COVID-19	2021	November	Ever vaccinated	2375	2680524	69.7		66.9	72.5
Deaths involving COVID-19	2021	December	Unvaccinated	682	509674	520.5		477.9	563.0
Deaths involving COVID-19	2021	December	"First dose, less than 21 days ago"	2	21502	x		x	x
Deaths involving COVID-19	2021	December	"First dose, at least 21 days ago"	84	173304	460.3		361.8	576.3
Deaths involving COVID-19	2021	December	"Second dose, less than 21 days ago"	1	29768	x		x	x
Deaths involving COVID-19	2021	December	"Second dose, between 21 days and 6 months ago"	64	616543	170.3		122.7	227.7
Deaths involving COVID-19	2021	December	"Second dose, at least 6 months ago"	1058	339227	430.5		403.2	457.8
Deaths involving COVID-19	2021	December	"Third dose or booster, less than 21 days ago"	105	571454	35.1		28.0	42.3
Deaths involving COVID-19	2021	December	"Third dose or booster, at least 21 days ago"	676	1048887	25.7		23.5	28.0
Deaths involving COVID-19	2021	December	Ever vaccinated	1990	2800686	56.3		53.8	58.7
Deaths involving COVID-19	2022	January	Unvaccinated	693	482035	584.6		538.5	630.8
Deaths involving COVID-19	2022	January	"First dose, less than 21 days ago"	9	17862	x		x	x
Deaths involving COVID-19	2022	January	"First dose, at least 21 days ago"	117	157152	711.7		576.1	847.3
Deaths involving COVID-19	2022	January	"Second dose, less than 21 days ago"	6	31915	x		x	x
Deaths involving COVID-19	2022	January	"Second dose, between 21 days and 6 months ago"	75	286474	503.8		387.6	641.8
Deaths involving COVID-19	2022	January	"Second dose, at least 6 months ago"	1098	222173	838.0		786.8	889.3
Deaths involving COVID-19	2022	January	"Third dose or booster, less than 21 days ago"	90	242240	153.1		120.7	191.0
Deaths involving COVID-19	2022	January	"Third dose or booster, at least 21 days ago"	2519	1866974	104.3		48.3	160.4
Deaths involving COVID-19	2022	January	Ever vaccinated	3914	2824790	109.8		106.4	113.3
Deaths involving COVID-19	2022	February	Unvaccinated	264	420084	258.7		225.7	291.6
Deaths involving COVID-19	2022	February	"First dose, less than 21 days ago"	1	9294	x		x	x
Deaths involving COVID-19	2022	February	"First dose, at least 21 days ago"	60	125985	398.9		296.9	522.5
Deaths involving COVID-19	2022	February	"Second dose, less than 21 days ago"	1	25646	x		x	x
Deaths involving COVID-19	2022	February	"Second dose, between 21 days and 6 months ago"	17	208036	150.8	u	80.1	252.6
Deaths involving COVID-19	2022	February	"Second dose, at least 6 months ago"	365	228825	360.8		322.8	398.9
Deaths involving COVID-19	2022	February	"Third dose or booster, less than 21 days ago"	13	32512	153.7	u	79.6	266.1
Deaths involving COVID-19	2022	February	"Third dose or booster, at least 21 days ago"	1990	1933554	64.2		61.4	67.0
Deaths involving COVID-19	2022	February	Ever vaccinated	2447	2563852	75.6		72.6	78.6
Deaths involving COVID-19	2022	March	Unvaccinated	202	457356	183.5		156.9	210.0
Deaths involving COVID-19	2022	March	"First dose, less than 21 days ago"	1	4749	x		x	x
Deaths involving COVID-19	2022	March	"First dose, at least 21 days ago"	43	128230	283.8		200.7	388.1
Deaths involving COVID-19	2022	March	"Second dose, less than 21 days ago"	2	16323	x		x	x
Deaths involving COVID-19	2022	March	"Second dose, between 21 days and 6 months ago"	17	189310	164.6	u	91.1	270.5
Deaths involving COVID-19	2022	March	"Second dose, at least 6 months ago"	262	302091	247.3		216.4	278.2
Deaths involving COVID-19	2022	March	"Third dose or booster, less than 21 days ago"	3	19143	x		x	x
Deaths involving COVID-19	2022	March	"Third dose or booster, at least 21 days ago"	2330	2183457	67.9		65.1	70.7
Deaths involving COVID-19	2022	March	Ever vaccinated	2658	2843304	74.2		71.3	77
Deaths involving COVID-19	2022	April	Unvaccinated	206	437563	204.7		175.9	233.5
Deaths involving COVID-19	2022	April	"First dose, less than 21 days ago"	1	3205	x		x	x
Deaths involving COVID-19	2022	April	"First dose, at least 21 days ago"	45	112311	298.6		213.4	405.2
Deaths involving COVID-19	2022	April	"Second dose, less than 21 days ago"	0	11738	x		x	x
Deaths involving COVID-19	2022	April	"Second dose, between 21 days and 6 months ago"	13	165006	168.0	u	87.7	289.9
Deaths involving COVID-19	2022	April	"Second dose, at least 6 months ago"	246	310924	243.0		211.3	274.6
Deaths involving COVID-19	2022	April	"Third dose or booster, less than 21 days ago"	3	14282	x		x	x
Deaths involving COVID-19	2022	April	"Third dose or booster, at least 21 days ago"	3057	2136115	91.2		87.9	94.4
Deaths involving COVID-19	2022	April	Ever vaccinated	3365	2753581	96.5		93.3	99.8
Deaths involving COVID-19	2022	May	Unvaccinated	82	448434	77.6		61.1	97.0
Deaths involving COVID-19	2022	May	"First dose, less than 21 days ago"	0	2291	x		x	x
Deaths involving COVID-19	2022	May	"First dose, at least 21 days ago"	18	107764	122.4	u	70.2	196.7
Deaths involving COVID-19	2022	May	"Second dose, less than 21 days ago"	0	8424	x		x	x
Deaths involving COVID-19	2022	May	"Second dose, between 21 days and 6 months ago"	6	159940	x		x	x
